"filename", "language", "TypeScript", "JavaScript", "comment", "blank", "total"
"c:\work\omat\simplespacegame\functions\src\buildings\fBuildingRules.js", "JavaScript", 0, 187, 1, 1, 189
"c:\work\omat\simplespacegame\functions\src\buildings\fBuildingRules.ts", "TypeScript", 157, 0, 1, 25, 183
"c:\work\omat\simplespacegame\functions\src\data\fDataBuildings.js", "JavaScript", 0, 287, 0, 1, 288
"c:\work\omat\simplespacegame\functions\src\data\fDataBuildings.ts", "TypeScript", 284, 0, 0, 4, 288
"c:\work\omat\simplespacegame\functions\src\data\fDataShips.js", "JavaScript", 0, 669, 33, 1, 703
"c:\work\omat\simplespacegame\functions\src\data\fDataShips.ts", "TypeScript", 647, 0, 34, 27, 708
"c:\work\omat\simplespacegame\functions\src\data\fDataTechnology.js", "JavaScript", 0, 549, 0, 1, 550
"c:\work\omat\simplespacegame\functions\src\data\fDataTechnology.ts", "TypeScript", 545, 0, 0, 21, 566
"c:\work\omat\simplespacegame\functions\src\functionConfigs.js", "JavaScript", 0, 4, 0, 1, 5
"c:\work\omat\simplespacegame\functions\src\functionConfigs.ts", "TypeScript", 2, 0, 0, 5, 7
"c:\work\omat\simplespacegame\functions\src\models\fBuildings.js", "JavaScript", 0, 2, 0, 1, 3
"c:\work\omat\simplespacegame\functions\src\models\fBuildings.ts", "TypeScript", 25, 0, 0, 3, 28
"c:\work\omat\simplespacegame\functions\src\models\fCommands.js", "JavaScript", 0, 14, 0, 1, 15
"c:\work\omat\simplespacegame\functions\src\models\fCommands.ts", "TypeScript", 45, 0, 0, 8, 53
"c:\work\omat\simplespacegame\functions\src\models\fCommunication.js", "JavaScript", 0, 2, 0, 1, 3
"c:\work\omat\simplespacegame\functions\src\models\fCommunication.ts", "TypeScript", 16, 0, 0, 12, 28
"c:\work\omat\simplespacegame\functions\src\models\fModels.js", "JavaScript", 0, 40, 0, 1, 41
"c:\work\omat\simplespacegame\functions\src\models\fModels.ts", "TypeScript", 143, 0, 0, 23, 166
"c:\work\omat\simplespacegame\functions\src\models\fReport.js", "JavaScript", 0, 10, 0, 1, 11
"c:\work\omat\simplespacegame\functions\src\models\fReport.ts", "TypeScript", 64, 0, 0, 21, 85
"c:\work\omat\simplespacegame\functions\src\models\fUnits.js", "JavaScript", 0, 31, 0, 1, 32
"c:\work\omat\simplespacegame\functions\src\models\fUnits.ts", "TypeScript", 70, 0, 0, 12, 82
"c:\work\omat\simplespacegame\functions\src\tech\fBusinessTech.js", "JavaScript", 0, 138, 0, 1, 139
"c:\work\omat\simplespacegame\functions\src\tech\fBusinessTech.ts", "TypeScript", 106, 0, 0, 23, 129
"c:\work\omat\simplespacegame\functions\src\tech\fInvasionTech.js", "JavaScript", 0, 34, 0, 1, 35
"c:\work\omat\simplespacegame\functions\src\tech\fInvasionTech.ts", "TypeScript", 22, 0, 0, 8, 30
"c:\work\omat\simplespacegame\functions\src\tech\fShipTech.js", "JavaScript", 0, 93, 7, 1, 101
"c:\work\omat\simplespacegame\functions\src\tech\fShipTech.ts", "TypeScript", 73, 0, 7, 24, 104
"c:\work\omat\simplespacegame\functions\src\tech\fTechTools.js", "JavaScript", 0, 6, 0, 1, 7
"c:\work\omat\simplespacegame\functions\src\tech\fTechTools.ts", "TypeScript", 5, 0, 0, 2, 7
