"filename", "language", "JSON", "JavaScript", "TypeScript", "comment", "blank", "total"
"c:\code\simplestars\functions\index.js", "JavaScript", 0, 194, 0, 12, 1, 207
"c:\code\simplestars\functions\index.ts", "TypeScript", 0, 0, 93, 21, 38, 152
"c:\code\simplestars\functions\package-lock.json", "JSON", 1911, 0, 0, 0, 1, 1912
"c:\code\simplestars\functions\package.json", "JSON", 23, 0, 0, 0, 1, 24
"c:\code\simplestars\functions\src\buildings\fBuildingRules.js", "JavaScript", 0, 195, 0, 1, 1, 197
"c:\code\simplestars\functions\src\buildings\fBuildingRules.ts", "TypeScript", 0, 0, 163, 1, 28, 192
"c:\code\simplestars\functions\src\data\fDataBuildings.js", "JavaScript", 0, 310, 0, 6, 1, 317
"c:\code\simplestars\functions\src\data\fDataBuildings.ts", "TypeScript", 0, 0, 307, 6, 4, 317
"c:\code\simplestars\functions\src\data\fDataShips.js", "JavaScript", 0, 670, 0, 33, 1, 704
"c:\code\simplestars\functions\src\data\fDataShips.ts", "TypeScript", 0, 0, 647, 34, 27, 708
"c:\code\simplestars\functions\src\data\fDataTechnology.js", "JavaScript", 0, 543, 0, 2, 1, 546
"c:\code\simplestars\functions\src\data\fDataTechnology.ts", "TypeScript", 0, 0, 539, 2, 16, 557
"c:\code\simplestars\functions\src\functionConfigs.js", "JavaScript", 0, 5, 0, 0, 1, 6
"c:\code\simplestars\functions\src\functionConfigs.ts", "TypeScript", 0, 0, 2, 0, 5, 7
"c:\code\simplestars\functions\src\models\fBuildings.js", "JavaScript", 0, 2, 0, 0, 1, 3
"c:\code\simplestars\functions\src\models\fBuildings.ts", "TypeScript", 0, 0, 25, 0, 3, 28
"c:\code\simplestars\functions\src\models\fCommands.js", "JavaScript", 0, 15, 0, 0, 1, 16
"c:\code\simplestars\functions\src\models\fCommands.ts", "TypeScript", 0, 0, 45, 0, 8, 53
"c:\code\simplestars\functions\src\models\fCommunication.js", "JavaScript", 0, 2, 0, 0, 1, 3
"c:\code\simplestars\functions\src\models\fCommunication.ts", "TypeScript", 0, 0, 16, 0, 12, 28
"c:\code\simplestars\functions\src\models\fModels.js", "JavaScript", 0, 41, 0, 0, 1, 42
"c:\code\simplestars\functions\src\models\fModels.ts", "TypeScript", 0, 0, 144, 0, 23, 167
"c:\code\simplestars\functions\src\models\fReport.js", "JavaScript", 0, 11, 0, 0, 1, 12
"c:\code\simplestars\functions\src\models\fReport.ts", "TypeScript", 0, 0, 64, 0, 21, 85
"c:\code\simplestars\functions\src\models\fUnits.js", "JavaScript", 0, 32, 0, 0, 1, 33
"c:\code\simplestars\functions\src\models\fUnits.ts", "TypeScript", 0, 0, 70, 0, 12, 82
"c:\code\simplestars\functions\src\tech\fBusinessTech.js", "JavaScript", 0, 139, 0, 0, 1, 140
"c:\code\simplestars\functions\src\tech\fBusinessTech.ts", "TypeScript", 0, 0, 110, 0, 21, 131
"c:\code\simplestars\functions\src\tech\fInvasionTech.js", "JavaScript", 0, 35, 0, 0, 1, 36
"c:\code\simplestars\functions\src\tech\fInvasionTech.ts", "TypeScript", 0, 0, 22, 0, 8, 30
"c:\code\simplestars\functions\src\tech\fShipTech.js", "JavaScript", 0, 94, 0, 7, 1, 102
"c:\code\simplestars\functions\src\tech\fShipTech.ts", "TypeScript", 0, 0, 73, 7, 24, 104
"c:\code\simplestars\functions\src\tech\fTechTools.js", "JavaScript", 0, 7, 0, 0, 1, 8
